LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Jun,14,15:16:01,info,sshd(pam_unix)[19939],19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
2,Jun,14,15:16:02,info,sshd(pam_unix)[19937],19937,check pass; user unknown,E43,check pass; user unknown
3,Jun,14,15:16:02,info,sshd(pam_unix)[19937],19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
4,Jun,15,02:04:59,info,sshd(pam_unix)[20882],20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
5,Jun,15,02:04:59,info,sshd(pam_unix)[20884],20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
6,Jun,15,02:04:59,info,sshd(pam_unix)[20883],20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
7,Jun,15,02:04:59,info,sshd(pam_unix)[20885],20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
8,Jun,15,02:04:59,info,sshd(pam_unix)[20886],20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
9,Jun,15,02:04:59,info,sshd(pam_unix)[20892],20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
10,Jun,15,02:04:59,info,sshd(pam_unix)[20893],20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
11,Jun,15,02:04:59,info,sshd(pam_unix)[20896],20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
12,Jun,15,02:04:59,info,sshd(pam_unix)[20897],20897,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
13,Jun,15,02:04:59,info,sshd(pam_unix)[20898],20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
14,Jun,15,04:06:18,info,su(pam_unix)[21416],21416,session opened for user cyrus by (uid=0),E_UNKNOWN,Unknown Template
15,Jun,15,04:06:19,info,su(pam_unix)[21416],21416,session closed for user cyrus,E17,session closed for user cyrus
16,Jun,15,04:06:20,info,logrotate,1,ALERT exited abnormally with [1],E_UNKNOWN,Unknown Template
17,Jun,15,04:12:42,info,su(pam_unix)[22644],22644,session opened for user news by (uid=0),E_UNKNOWN,Unknown Template
18,Jun,15,04:12:43,info,su(pam_unix)[22644],22644,session closed for user news,E31,session closed for user news
19,Jun,15,12:12:34,info,sshd(pam_unix)[23397],23397,check pass; user unknown,E43,check pass; user unknown
20,Jun,15,12:12:34,info,sshd(pam_unix)[23397],23397,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
21,Jun,15,12:12:34,info,sshd(pam_unix)[23395],23395,check pass; user unknown,E43,check pass; user unknown
22,Jun,15,12:12:34,info,sshd(pam_unix)[23395],23395,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
23,Jun,15,12:12:34,info,sshd(pam_unix)[23404],23404,check pass; user unknown,E43,check pass; user unknown
24,Jun,15,12:12:34,info,sshd(pam_unix)[23404],23404,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
25,Jun,15,12:12:34,info,sshd(pam_unix)[23399],23399,check pass; user unknown,E43,check pass; user unknown
26,Jun,15,12:12:34,info,sshd(pam_unix)[23399],23399,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
27,Jun,15,12:12:34,info,sshd(pam_unix)[23406],23406,check pass; user unknown,E43,check pass; user unknown
28,Jun,15,12:12:34,info,sshd(pam_unix)[23406],23406,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
29,Jun,15,12:12:34,info,sshd(pam_unix)[23396],23396,check pass; user unknown,E43,check pass; user unknown
30,Jun,15,12:12:34,info,sshd(pam_unix)[23394],23394,check pass; user unknown,E43,check pass; user unknown
31,Jun,15,12:12:34,info,sshd(pam_unix)[23407],23407,check pass; user unknown,E43,check pass; user unknown
32,Jun,15,12:12:34,info,sshd(pam_unix)[23394],23394,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
33,Jun,15,12:12:34,info,sshd(pam_unix)[23403],23403,check pass; user unknown,E43,check pass; user unknown
34,Jun,15,12:12:34,info,sshd(pam_unix)[23396],23396,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
35,Jun,15,12:12:34,info,sshd(pam_unix)[23407],23407,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
36,Jun,15,12:12:34,info,sshd(pam_unix)[23403],23403,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
37,Jun,15,12:12:34,info,sshd(pam_unix)[23412],23412,check pass; user unknown,E43,check pass; user unknown
38,Jun,15,12:12:34,info,sshd(pam_unix)[23412],23412,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
39,Jun,15,12:13:19,info,sshd(pam_unix)[23414],23414,check pass; user unknown,E43,check pass; user unknown
40,Jun,15,12:13:19,info,sshd(pam_unix)[23414],23414,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 ,E15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4 
