LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,Label
2,Jun,9,06:06:20,info,syslog,Unknown,syslogd startup succeeded,E_UNKNOWN,Unknown Template,Normal
3,Jun,9,06:06:20,info,syslog,Unknown,klogd startup succeeded,E_UNKNOWN,Unknown Template,Normal
4,Jun,9,06:06:20,info,kernel,Unknown,"klogd 1.4.1, log source = /proc/kmsg started.",E_UNKNOWN,Unknown Template,Normal
5,Jun,9,06:06:20,info,kernel,Unknown,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E_UNKNOWN,Unknown Template,Normal
6,Jun,9,06:06:20,info,kernel,Unknown,BIOS-provided physical RAM map:,E_UNKNOWN,Unknown Template,Normal
7,Jun,9,06:06:20,info,kernel,Unknown,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E_UNKNOWN,Unknown Template,Normal
8,Jun,9,06:06:20,info,kernel,Unknown,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E_UNKNOWN,Unknown Template,Normal
9,Jun,9,06:06:20,info,kernel,Unknown,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),E_UNKNOWN,Unknown Template,Normal
10,Jun,9,06:06:20,info,kernel,Unknown,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),E_UNKNOWN,Unknown Template,Normal
11,Jun,9,06:06:20,info,kernel,Unknown,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),E_UNKNOWN,Unknown Template,Normal
12,Jun,9,06:06:20,info,kernel,Unknown,0MB HIGHMEM available.,E_UNKNOWN,Unknown Template,Normal
13,Jun,9,06:06:20,info,kernel,Unknown,126MB LOWMEM available.,E_UNKNOWN,Unknown Template,Normal
14,Jun,9,06:06:20,info,kernel,Unknown,zapping low mappings.,E_UNKNOWN,Unknown Template,Normal
15,Jun,9,06:06:20,info,kernel,Unknown,On node 0 totalpages: 32430,E_UNKNOWN,Unknown Template,Normal
16,Jun,9,06:06:20,info,kernel,Unknown,"DMA zone: 4096 pages, LIFO batch:1",E_UNKNOWN,Unknown Template,Normal
17,Jun,9,06:06:20,info,kernel,Unknown,"Normal zone: 28334 pages, LIFO batch:6",E_UNKNOWN,Unknown Template,Normal
18,Jun,9,06:06:20,info,kernel,Unknown,"HighMem zone: 0 pages, LIFO batch:1",E_UNKNOWN,Unknown Template,Normal
19,Jun,9,06:06:20,info,kernel,Unknown,DMI 2.3 present.,E_UNKNOWN,Unknown Template,Normal
20,Jun,9,06:06:20,info,kernel,Unknown,ACPI disabled because your bios is from 2000 and too old,E_UNKNOWN,Unknown Template,Normal
