PID,Label
19939,Normal
19937,Normal
20882,Normal
20884,Normal
20883,Normal
20885,Normal
20886,Normal
20892,Normal
20893,Normal
20896,Normal
20897,Normal
20898,Normal
21416,Normal
22644,Normal
23397,Normal
23395,Normal
23404,Normal
23399,Normal
23406,Normal
23396,Normal
23394,Normal
23407,Normal
23403,Normal
23412,Normal
23414,Normal
23416,Normal
23661,Normal
23663,Normal
23664,Normal
23665,Normal
23669,Normal
23671,Normal
23673,Normal
23674,Normal
23678,Normal
23677,Normal
24138,Normal
24137,Normal
24141,Normal
24140,Normal
24139,Normal
25178,Normal
25548,Normal
27953,Normal
29190,Normal
30565,Normal
30631,Normal
31201,Normal
31199,Normal
31198,Normal
31202,Normal
31205,Normal
31200,Normal
31206,Normal
31204,Normal
31203,Normal
31207,Normal
31791,Normal
32164,Normal
2192,Normal
3676,Normal
9187,Normal
9558,Normal
10035,Normal
10037,Normal
10039,Normal
10041,Normal
10043,Normal
10045,Normal
10047,Normal
10049,Normal
10051,Normal
10053,Normal
12098,Normal
13327,Normal
14281,Normal
14279,Normal
14282,Normal
14277,Normal
14278,Normal
14280,Normal
16207,Normal
16206,Normal
16210,Normal
16212,Normal
16213,Normal
16216,Normal
16218,Normal
16219,Normal
16222,Normal
16224,Normal
16226,Normal
16227,Normal
16230,Normal
16232,Normal
16234,Normal
16235,Normal
16238,Normal
16240,Normal
16242,Normal
16244,Normal
16245,Normal
16248,Normal
16250,Normal
16663,Normal
17037,Normal
17129,Normal
17125,Normal
17124,Normal
17123,Normal
17132,Normal
17131,Normal
17135,Normal
17137,Normal
17139,Normal
17140,Normal
18969,Normal
18971,Normal
18973,Normal
18975,Normal
18977,Normal
18983,Normal
18982,Normal
18981,Normal
18976,Normal
18967,Normal
19085,Normal
19534,Normal
24180,Normal
26189,Normal
26188,Normal
26193,Normal
26182,Normal
26183,Normal
26184,Normal
26197,Normal
26198,Normal
26190,Normal
26938,Normal
27311,Normal
29690,Normal
30934,Normal
31031,Normal
31035,Normal
31034,Normal
31036,Normal
31025,Normal
31028,Normal
31020,Normal
31027,Normal
31021,Normal
31024,Normal
945,Normal
1546,Normal
7031,Normal
8269,Normal
8660,Normal
8664,Normal
8663,Normal
8662,Normal
8661,Normal
10735,Normal
11106,Normal
11513,Normal
11517,Normal
11521,Normal
11510,Normal
11519,Normal
11514,Normal
11512,Normal
11509,Normal
11515,Normal
12665,Normal
12666,Normal
12669,Normal
12671,Normal
12673,Normal
12675,Normal
12677,Normal
12679,Normal
12681,Normal
12680,Normal
12756,Normal
12753,Normal
12752,Normal
12755,Normal
12754,Normal
13665,Normal
14891,Normal
15481,Normal
15477,Normal
15479,Normal
15478,Normal
15480,Normal
15476,Normal
15488,Normal
15490,Normal
15491,Normal
15492,Normal
15692,Normal
15694,Normal
15696,Normal
15698,Normal
15700,Normal
15702,Normal
15704,Normal
15706,Normal
15708,Normal
15710,Normal
15712,Normal
15714,Normal
15716,Normal
17407,Normal
17778,Normal
18559,Normal
18557,Normal
18550,Normal
18547,Normal
18549,Normal
18545,Normal
18548,Normal
18546,Normal
19088,Normal
19094,Normal
19087,Normal
19093,Normal
19091,Normal
