PID,Label
19939,Normal
19937,Normal
20882,Normal
20884,Normal
20883,Normal
20885,Normal
20886,Normal
20892,Normal
20893,Normal
20896,Normal
20897,Normal
20898,Normal
21416,Normal
22644,Normal
23397,Normal
23395,Normal
23404,Normal
23399,Normal
23406,Normal
23396,Normal
23394,Normal
23407,Normal
23403,Normal
23412,Normal
23414,Normal
23416,Normal
23661,Normal
23663,Normal
23664,Normal
23665,Normal
23669,Normal
23671,Normal
23673,Normal
23674,Normal
23678,Normal
23677,Normal
24138,Normal
24137,Normal
24141,Normal
24140,Normal
24139,Normal
25178,Normal
25548,Normal
27953,Normal
29190,Normal
29504,Normal
29508,Normal
29507,Normal
29505,Normal
29506,Normal
29509,Normal
29510,Normal
29511,Normal
30565,Normal
30631,Normal
30755,Normal
30754,Normal
30753,Normal
30756,Normal
30757,Normal
30758,Normal
30759,Normal
31201,Normal
31199,Normal
31198,Normal
31202,Normal
31205,Normal
31200,Normal
31206,Normal
31204,Normal
31203,Normal
31207,Normal
31272,Normal
31273,Normal
31274,Normal
31275,Normal
31276,Normal
31277,Normal
31278,Normal
31279,Normal
31280,Normal
31281,Normal
31282,Normal
31283,Normal
31284,Normal
31285,Normal
31286,Normal
31791,Normal
32164,Normal
2192,Normal
3676,Normal
8829,Normal
8824,Normal
8828,Normal
8822,Normal
8833,Normal
8827,Normal
8823,Normal
8825,Normal
8826,Normal
8832,Normal
8830,Normal
8831,Normal
9187,Normal
9558,Normal
2318,Normal
10035,Normal
10037,Normal
10039,Normal
10041,Normal
10043,Normal
10045,Normal
10047,Normal
10049,Normal
10051,Normal
10053,Normal
12098,Normal
13327,Normal
14281,Normal
14279,Normal
14282,Normal
14277,Normal
14278,Normal
14280,Normal
16207,Normal
16206,Normal
16210,Normal
16212,Normal
16213,Normal
16216,Normal
16218,Normal
16219,Normal
16222,Normal
16224,Normal
16226,Normal
16227,Normal
16230,Normal
16232,Normal
16234,Normal
16235,Normal
16238,Normal
16240,Normal
16242,Normal
16244,Normal
16245,Normal
16248,Normal
16250,Normal
16663,Normal
17037,Normal
17129,Normal
17125,Normal
17124,Normal
17123,Normal
17132,Normal
17131,Normal
17135,Normal
17137,Normal
17139,Normal
17140,Normal
17886,Normal
17889,Normal
17887,Normal
17888,Normal
17890,Normal
17893,Normal
17879,Normal
17892,Normal
17876,Normal
17875,Normal
17877,Normal
17874,Normal
17882,Normal
17872,Normal
17881,Normal
17878,Normal
17873,Normal
17885,Normal
17884,Normal
17880,Normal
17883,Normal
17891,Normal
17894,Normal
18969,Normal
18971,Normal
18973,Normal
18975,Normal
18977,Normal
18983,Normal
18982,Normal
18981,Normal
18976,Normal
18967,Normal
19085,Normal
19534,Normal
24180,Normal
26189,Normal
26188,Normal
26193,Normal
26182,Normal
26183,Normal
26184,Normal
26197,Normal
26198,Normal
26190,Normal
26938,Normal
27311,Normal
28568,Normal
28566,Normal
28562,Normal
28563,Normal
28565,Normal
28564,Normal
28567,Normal
28570,Normal
28571,Normal
28569,Normal
28572,Normal
28574,Normal
28573,Normal
29690,Normal
30934,Normal
31031,Normal
31035,Normal
31034,Normal
31036,Normal
31025,Normal
31028,Normal
