PID,EventSequence,Label
19939,[15],Normal
19937,"[43, 15]",Normal
20882,[47],Normal
20884,[47],Normal
20883,[47],Normal
20885,[47],Normal
20886,[47],Normal
20892,[47],Normal
20893,[47],Normal
20896,[47],Normal
20897,[47],Normal
20898,[47],Normal
21416,"[58, 17]",Normal
22644,"[58, 31]",Normal
23397,"[43, 15]",Normal
23395,"[43, 15]",Normal
23404,"[43, 15]",Normal
23399,"[43, 15]",Normal
23406,"[43, 15]",Normal
23396,"[43, 15]",Normal
23394,"[43, 15]",Normal
23407,"[43, 15]",Normal
23403,"[43, 15]",Normal
23412,"[43, 15]",Normal
23414,"[43, 15]",Normal
23416,"[43, 15]",Normal
23661,"[43, 4]",Normal
23663,"[43, 4]",Normal
23664,"[43, 4]",Normal
23665,"[43, 4]",Normal
23669,"[43, 4]",Normal
23671,"[43, 4]",Normal
23673,"[43, 4]",Normal
23674,"[43, 4]",Normal
23678,"[43, 4]",Normal
23677,"[43, 4]",Normal
24138,"[43, 32]",Normal
24137,"[43, 32]",Normal
24141,"[43, 32]",Normal
24140,"[43, 32]",Normal
24139,"[43, 32]",Normal
25178,"[58, 17]",Normal
25548,"[58, 31]",Normal
27953,"[58, 17]",Normal
29190,"[58, 31]",Normal
30565,[10],Normal
30631,"[58, 52]",Normal
31201,"[43, 50]",Normal
31199,"[43, 50]",Normal
31198,"[43, 50]",Normal
31202,"[43, 50]",Normal
31205,"[43, 50]",Normal
31200,"[43, 50]",Normal
31206,"[43, 50]",Normal
31204,"[43, 50]",Normal
31203,"[43, 50]",Normal
31207,"[43, 50]",Normal
31791,"[58, 17]",Normal
32164,"[58, 31]",Normal
2192,"[58, 17]",Normal
3676,"[58, 31]",Normal
9187,"[58, 17]",Normal
9558,"[58, 31]",Normal
10035,"[43, 21]",Normal
10037,"[43, 21]",Normal
10039,"[43, 21]",Normal
10041,"[43, 21]",Normal
10043,"[43, 21]",Normal
10045,"[43, 21]",Normal
10047,"[43, 21]",Normal
